timesteps,n_updates,actor_loss,actor_base_loss,critic_loss,ent_coef,ent_coef_loss,support_actor_loss,support_actor_weighted_loss,replay_support_actor_loss,replay_support_actor_weighted_loss,support_actor_weight,learning_rate,replay_buffer_pos,replay_buffer_full
12997,3224,157.4810791015625,10.559249877929688,7907865.5,0.9932578206062317,-0.04309801012277603,0.002394045004621148,47.88090133666992,0.00495204608887434,99.04092407226562,20000.0,3e-06,748,False
13001,3225,166.3010711669922,10.367502212524414,6655586.0,0.9932547807693481,-0.043177127838134766,0.0024555891286581755,49.11178207397461,0.005341089330613613,106.82178497314453,20000.0,3e-06,749,False
13005,3226,161.8727569580078,10.411116600036621,8773595.0,0.9932518005371094,-0.042679280042648315,0.002558924024924636,51.17848205566406,0.0050141578540205956,100.28315734863281,20000.0,3e-06,750,False
13009,3227,150.83920288085938,10.061403274536133,9068502.0,0.9932488203048706,-0.04428843781352043,0.002255489118397236,45.10978317260742,0.00478340033441782,95.66800689697266,20000.0,3e-06,751,False
13013,3228,158.82864379882812,10.54138469696045,8900174.0,0.9932457804679871,-0.04325246810913086,0.0023933290503919125,47.866580963134766,0.005021033808588982,100.4206771850586,20000.0,3e-06,752,False
13017,3229,165.6541290283203,10.472904205322266,6890485.0,0.9932428598403931,-0.04298318177461624,0.0026147370226681232,52.29473876953125,0.005144324153661728,102.88648223876953,20000.0,3e-06,753,False
13021,3230,161.1584014892578,10.560596466064453,10489052.0,0.9932398796081543,-0.04293302446603775,0.0023513182532042265,47.026363372802734,0.00517857214435935,103.57144165039062,20000.0,3e-06,754,False
13025,3231,150.01437377929688,10.345291137695312,9777048.0,0.9932368397712708,-0.04323427379131317,0.0023115540388971567,46.2310791015625,0.004671900067478418,93.43800354003906,20000.0,3e-06,755,False
13029,3232,151.15733337402344,10.215019226074219,8827900.0,0.9932339191436768,-0.042989298701286316,0.0022320891730487347,44.64178466796875,0.0048150266520679,96.30052947998047,20000.0,3e-06,756,False
13033,3233,146.58009338378906,10.554863929748535,8396550.0,0.993230938911438,-0.04355164244771004,0.002307616174221039,46.15232467651367,0.004493644926697016,89.8729019165039,20000.0,3e-06,757,False
13037,3234,148.00064086914062,10.619223594665527,10454428.0,0.993228018283844,-0.042384810745716095,0.002231915947049856,44.6383171081543,0.004637154750525951,92.74309539794922,20000.0,3e-06,758,False
13041,3235,155.54727172851562,10.601181030273438,9064059.0,0.9932249784469604,-0.042665332555770874,0.002339683473110199,46.793670654296875,0.004907621070742607,98.15242004394531,20000.0,3e-06,759,False
13045,3236,155.35537719726562,10.277536392211914,9028461.0,0.9932219982147217,-0.04381443187594414,0.002261411165818572,45.22822189331055,0.00499248132109642,99.84962463378906,20000.0,3e-06,760,False
13049,3237,153.14688110351562,10.335186004638672,7183997.0,0.9932190775871277,-0.04332999140024185,0.0020868941210210323,41.73788070678711,0.005053690634667873,101.07381439208984,20000.0,3e-06,761,False
13053,3238,147.5770721435547,10.425399780273438,7825767.5,0.9932160973548889,-0.04338809847831726,0.002417868934571743,48.35737991333008,0.00443971436470747,88.7942886352539,20000.0,3e-06,762,False
