depth,duration_ms,dq_pass,sac_pass,dq_reason,sac_reason,dq_score,sac_score,dq_vdc_min,sac_vdc_min,dq_vdc_max,sac_vdc_max,sac_fault_band,sac_recovery,sac_current
0.575,120,True,True,nan,nan,118.824598740445,118.758862512332,706.318949142569,711.656256940217,977.392339129142,968.296863368503,0.0,0.0,1.29843683448431
0.575,160,True,True,nan,nan,122.094750880301,118.459044457411,706.318949142569,696.27907180069,977.392339129142,968.296863368503,0.0,0.0,1.29843683448431
0.575,200,False,False,dc_link_bounds,dc_link_bounds,129.167309267072,118.355222445932,576.547787728056,647.968816603137,977.392339129142,968.296863368503,0.0,0.0,1.29843683448431
0.575,240,False,False,dc_link_bounds;timestep_recovery_envelope,dc_link_bounds,142.880231920684,121.213146726579,451.098409836679,615.995359106335,977.392339129142,968.296863368503,0.0,0.0,1.29843683448431
0.575,300,False,True,dc_link_bounds;timestep_recovery_envelope,nan,145.210503501664,117.885188363302,434.91117471798,661.489170044588,977.392339129142,968.296863368503,0.0,0.0,1.29843683448431
0.65,80,True,True,nan,nan,115.559811321011,116.526641959053,733.540116602571,799.747850682032,977.392339129142,968.296863368503,0.0,0.0,1.29165476790559
0.65,120,True,True,nan,nan,116.149232911989,116.27863830116,733.540116602571,677.461632967274,977.392339129142,968.296863368503,0.0,0.0,1.29165476790559
0.65,160,True,False,nan,dc_link_bounds,116.422769227744,117.978107360503,733.540116602571,625.765067873726,977.392339129142,968.296863368503,0.0,0.0,1.29165476790559
0.65,200,True,False,nan,dc_link_bounds,116.479481137018,117.34395870525,733.540116602571,629.28738947067,977.392339129142,968.296863368503,0.0,0.0,1.29165476790559
0.65,240,True,True,nan,nan,120.77667765053,115.25063996288,685.354563837198,650.602754917169,977.392339129142,968.296863368503,0.0,0.0,1.29165476790559
0.65,300,True,True,nan,nan,120.8143332474,115.249954160833,733.540116602571,653.920459693744,977.392339129142,968.296863368503,0.0,0.0,1.29165476790559
0.7,80,True,True,nan,nan,115.681184369039,115.326573809866,781.37230071515,799.747850682032,977.392339129142,968.296863368503,0.0,0.0,1.28145436608448
0.7,120,True,True,nan,nan,115.791458983426,115.369346831322,781.37230071515,772.45025552268,977.392339129142,968.296863368503,0.0,0.0,1.28145436608448
0.7,160,True,False,nan,dc_link_bounds,115.890076930224,115.219366135865,777.130039648333,644.272580772407,977.392339129142,968.296863368503,0.0,0.0,1.28145436608448
0.7,200,True,False,nan,dc_link_bounds,115.77711215681,116.352623074099,767.005772140394,628.083370366996,977.392339129142,968.296863368503,0.0,0.0,1.28145436608448
0.7,240,True,False,nan,dc_link_bounds,115.727385188194,114.601674277159,761.174129496767,644.948131989995,977.392339129142,968.296863368503,0.0,0.0,1.28145436608448
0.7,300,True,True,nan,nan,115.871078411176,114.140036606437,761.174129496767,659.217887279624,977.392339129142,968.296863368503,0.0,0.0,1.28145436608448
0.75,80,True,True,nan,nan,112.507590001258,112.836135659756,799.726215904551,799.747850682032,977.392339129142,968.296863368503,0.0,0.0,1.27615319404563
0.75,120,True,True,nan,nan,112.673903991192,112.875125365993,799.726215904551,799.747850682032,977.392339129142,968.296863368503,0.0,0.0,1.27615319404563
0.75,160,True,True,nan,nan,113.762254716236,112.425912488328,799.726215904551,664.654263013143,977.392339129142,968.296863368503,0.0,0.0,1.27615319404563
0.75,200,True,True,nan,nan,113.623213715343,111.896604447864,799.726215904551,651.105553244839,977.392339129142,968.296863368503,0.0,0.0,1.27615319404563
0.75,240,True,True,nan,nan,113.617945121246,111.783231857179,799.726215904551,657.821042898883,977.392339129142,968.296863368503,0.0,0.0,1.27615319404563
0.75,300,True,True,nan,nan,114.795491633366,111.773779627237,797.663966094411,657.576478820979,977.392339129142,968.296863368503,0.0,0.0,1.27615319404563
0.8,80,True,True,nan,nan,110.467618420215,111.360124251891,799.726215904551,799.747850682032,977.392339129142,968.296863368503,0.0,0.0,1.26788843235784
0.8,120,True,True,nan,nan,110.837778493901,111.813939774087,799.726215904551,799.747850682032,977.392339129142,968.296863368503,0.0,0.0,1.26788843235784
0.8,160,True,True,nan,nan,113.87833736782,111.740415969156,799.726215904551,666.091438274029,977.392339129142,968.296863368503,0.0,0.0,1.26788843235784
0.8,200,True,True,nan,nan,113.752089863028,111.164946471057,799.726215904551,676.814384649452,977.392339129142,968.296863368503,0.0,0.0,1.26788843235784
0.8,240,True,True,nan,nan,113.702361649715,111.104388949599,799.726215904551,680.358173639183,977.392339129142,968.296863368503,0.0,0.0,1.26788843235784
0.8,300,True,True,nan,nan,113.708617358394,110.998597065481,799.726215904551,658.204301223063,977.392339129142,968.296863368503,0.0,0.0,1.26788843235784
0.825,80,True,True,nan,nan,110.336971231139,110.575728051653,799.726215904551,799.747850682032,977.392339129142,968.296863368503,0.0,0.0,1.25983013121896
0.825,120,True,True,nan,nan,110.450584773736,110.600007173604,799.726215904551,799.747850682032,977.392339129142,968.296863368503,0.0,0.0,1.25983013121896
0.825,160,True,True,nan,nan,112.735225010891,110.835474418848,799.726215904551,735.005494341732,977.392339129142,968.296863368503,0.0,0.0,1.25983013121896
0.825,200,True,True,nan,nan,112.593286610722,110.037653838061,799.726215904551,656.335772048421,977.392339129142,968.296863368503,0.0,0.0,1.25983013121896
0.825,240,True,True,nan,nan,112.538558103863,109.914124637217,799.726215904551,698.545053916599,977.392339129142,968.296863368503,0.0,0.0,1.25983013121896
0.825,300,True,True,nan,nan,112.485210605943,109.97504095063,799.726215904551,670.363651307518,977.392339129142,968.296863368503,0.0,0.0,1.25983013121896
0.85,80,True,True,nan,nan,109.232330779425,109.905588973468,799.726215904551,799.747850682032,977.392339129142,968.296863368503,0.0,0.0,1.25605656045846
0.85,120,True,True,nan,nan,110.194409678984,109.735443391028,799.726215904551,799.747850682032,977.392339129142,968.296863368503,0.0,0.0,1.25605656045846
0.85,160,True,True,nan,nan,110.874944132787,110.023300728467,799.726215904551,799.747850682032,977.392339129142,968.296863368503,0.0,0.0,1.25605656045846
0.85,200,True,True,nan,nan,110.91823829227,109.413896136984,799.726215904551,666.332564671807,977.392339129142,968.296863368503,0.0,0.0,1.25605656045846
0.85,240,True,True,nan,nan,110.868867859441,109.047756428884,799.726215904551,677.073027335406,977.392339129142,968.296863368503,0.0,0.0,1.25605656045846
0.85,300,True,True,nan,nan,110.820553545911,109.216753102904,799.726215904551,671.596668675619,977.392339129142,968.296863368503,0.0,0.0,1.25605656045846
0.875,80,True,True,nan,nan,109.817970490735,108.664403610516,799.726215904551,799.747850682032,977.392339129142,968.296863368503,0.0,0.0,1.25164927798565
0.875,120,True,True,nan,nan,110.06436149194,108.520978064701,799.726215904551,799.747850682032,977.392339129142,968.296863368503,0.0,0.0,1.25164927798565
0.875,160,True,True,nan,nan,110.003469885979,108.803391736505,799.726215904551,799.747850682032,977.392339129142,968.296863368503,0.0,0.0,1.25164927798565
0.875,200,True,True,nan,nan,111.106389880722,108.925755555271,799.726215904551,717.606731876896,977.392339129142,968.296863368503,0.0,0.0,1.25164927798565
0.875,240,True,True,nan,nan,111.061259712597,108.265716743921,799.726215904551,663.702712965743,977.392339129142,968.296863368503,0.0,0.0,1.25164927798565
0.875,300,True,True,nan,nan,111.013513972662,107.994899387403,799.726215904551,678.861744380373,977.392339129142,968.296863368503,0.0,0.0,1.25164927798565
