expert,seed,step,connect_violation_pct,reactive_violation_pct,recover_violation_pct,limit_status,survive_status,metric_note
hvrt_asym,123,200000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,123,225000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,123,250000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,123,275000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,123,300000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,2024,25000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,2024,50000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,2024,75000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,2024,100000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,2024,125000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,2024,150000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,2024,175000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,2024,200000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,2024,225000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,2024,250000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,2024,275000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_asym,2024,300000,0.0,,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,7,25000,0.0,0.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,7,50000,0.0,0.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,7,75000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,7,100000,0.0,0.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
