expert,seed,step,ode_selection_proxy_pct,best_proxy_pct,metric_note
hvrt_asym,123,50000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,123,75000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,123,100000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,123,125000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,123,150000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,123,175000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,123,200000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,123,225000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,123,250000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,123,275000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,123,300000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,2024,25000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,2024,50000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,2024,75000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,2024,100000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,2024,125000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,2024,150000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,2024,175000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,2024,200000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,2024,225000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,2024,250000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,2024,275000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_asym,2024,300000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,7,25000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,7,50000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,7,75000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,7,100000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,7,125000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,7,150000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,7,175000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,7,200000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,7,225000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,7,250000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,7,275000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,7,300000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,31,25000,0.0,0.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,31,50000,0.0,0.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,31,75000,0.0,0.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,31,100000,0.0,0.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,31,125000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
