scenario_idx,sc_id,strategy,vdc_min_pu,vdc_max_pu,i2_max_pu,lvrt_pass
15,0,3,0.842450541786939,1.07654430487617,1.32599126668834,1
16,0,0,0.912717872662818,1.0506056329472,1.46010067142432,1
16,0,1,0.896753688087956,1.02515733964144,1.43428282246622,1
16,0,2,0.878368467029273,1.020864303654,1.42529356632512,1
16,0,3,0.843939882341039,1.04320455510371,1.387965881653,1
17,0,0,0.905599456602394,1.10169950392168,1.32672419555897,1
17,0,1,0.894649097262623,1.09421138787349,1.30111263971014,1
17,0,2,0.876400809914266,1.08968129855568,1.29108597234976,1
17,0,3,0.842025178769418,1.08449292669306,1.25485819702775,1
18,0,0,0.905346977995442,1.04939171395492,1.41755631945086,1
18,0,1,0.896792857435037,1.02374976962357,1.39060446661854,1
18,0,2,0.876694676328868,1.01955972537961,1.38372425988066,1
18,0,3,0.840344374578036,1.04251999293772,1.34544967496798,1
19,0,0,0.907953468001267,1.09482805959887,1.4488189149299,1
19,0,1,0.898373572794408,1.08828705729573,1.42549799819696,1
19,0,2,0.879444062968834,1.08590097700261,1.41372155457567,1
19,0,3,0.847428092156876,1.07664685951347,1.37809240509153,1
20,0,0,0.911333696408593,1.10332646063746,1.53405036247968,1
20,0,1,0.901920877402864,1.09805963541415,1.51218425550897,1
20,0,2,0.878821116633408,1.09252330245529,1.50330118782013,1
20,0,3,0.850009422782433,1.08892393846125,1.46356303624803,1
21,0,0,0.907934995585121,1.08115230672534,1.1871420348938,1
21,0,1,0.895565493742931,1.07381226322948,1.15958103528846,1
21,0,2,0.876353258305681,1.07194910330823,1.15171648807903,1
21,0,3,0.843781113315514,1.06402968277489,1.11838796746246,1
22,0,0,0.931830900907248,1.0517049637952,1.41873040292266,1
22,0,1,0.911127917903295,1.02703155630729,1.4037206423581,1
22,0,2,0.887225816439832,1.02290175197905,1.39256386330141,1
22,0,3,0.854910732047094,1.04438960354802,1.35035435585488,1
23,0,0,0.93576409024973,1.05768040113667,1.35724997370634,1
23,0,1,0.912167970919923,1.03152167269039,1.33237146282088,1
23,0,2,0.887322303940451,1.03270499716512,1.32147961423653,1
23,0,3,0.84993100754892,1.05355935744687,1.28692591994314,1
24,0,0,0.930856459717782,1.053137133876,1.35523384841445,1
24,0,1,0.911883376057347,1.02865406043906,1.32772815763422,1
24,0,2,0.887741802417411,1.02380092733148,1.32031721822651,1
24,0,3,0.852299575012524,1.04632373344913,1.28525993608485,1
25,0,0,0.936068671320418,1.05928710884497,1.34643744842417,1
25,0,1,0.913104970105026,1.0326534375387,1.32064396702012,1
25,0,2,0.887746913467596,1.03469910753071,1.31072219625751,1
25,0,3,0.852033177566629,1.05401097592864,1.27575032342769,1
26,0,0,0.929350597744316,1.05111208173945,1.38134324869883,1
26,0,1,0.909302337749281,1.02641656732958,1.35489458572781,1
26,0,2,0.88643763190266,1.0213845732658,1.34577062641916,1
26,0,3,0.85071430671495,1.04493073386572,1.31073983134008,1
27,0,0,0.907837147638948,1.05432071402319,1.36717933298179,1
27,0,1,0.897231043093415,1.05034977330867,1.3399533578106,1
27,0,2,0.877313771737894,1.04738642261135,1.33242387516927,1
27,0,3,0.843518908258987,1.04643441745648,1.29726225100249,1
28,0,0,0.908263615802479,1.07771840647032,1.24389818011553,1
28,0,1,0.897310411419267,1.07033911285137,1.21633924869217,1
28,0,2,0.879183293787298,1.06706702418753,1.20701560136101,1
28,0,3,0.843487651607423,1.06283206762946,1.17551758328104,1
29,0,0,0.907578329920203,1.05188279959502,1.43065168581684,1
29,0,1,0.897193658962918,1.02657576784895,1.40413087262668,1
29,0,2,0.879074770912758,1.02229221676759,1.3952145791776,1
29,0,3,0.844767210028267,1.0446620770632,1.3589948946437,1
30,0,0,0.937396011271299,1.05566597968844,1.533452757665,1
30,0,1,0.913401215675308,1.03001216983414,1.51383343953008,1
30,0,2,0.885414512895407,1.0310467345898,1.50264330805745,1
30,0,3,0.85116654063885,1.05142230553892,1.46297625649474,1
31,0,0,0.905522674079109,1.09673970118907,1.34005606794254,1
31,0,1,0.897007957168638,1.08962719767262,1.31195956970032,1
31,0,2,0.87645891891685,1.08458055927894,1.30590981415543,1
31,0,3,0.841853445430257,1.07567313600471,1.26801494649006,1
32,0,0,0.907656865614057,1.05303600744839,1.36102366156426,1
32,0,1,0.897045371873624,1.02853885184656,1.3337566339216,1
32,0,2,0.877131908273516,1.02369019865868,1.32623888173005,1
32,0,3,0.843368248663684,1.04623311779662,1.29107255252194,1
33,0,0,0.938556328240979,1.06134614035416,1.40741830379222,1
33,0,1,0.909137737226971,1.03303086049074,1.38676037602174,1
33,0,2,0.889545298364673,1.03641170723637,1.36954033104922,1
33,0,3,0.853409305923814,1.05627837880109,1.33836625980392,1
34,0,0,0.905678573684299,1.05030526991398,1.38698361850632,1
34,0,1,0.897158128790323,1.0247707415629,1.359504065858,1
34,0,2,0.876399075003421,1.02032390906458,1.35162625775768,1
34,0,3,0.840898475902621,1.04317614628751,1.31554812067776,1
35,0,0,0.906924274914348,1.09413800867651,1.37617608007921,1
35,0,1,0.896278193446696,1.08830630192313,1.34947971984371,1
35,0,2,0.878486826858347,1.08406732416232,1.34057168328953,1
35,0,3,0.842449163450327,1.07471891797427,1.30580430669635,1
36,0,0,0.9074588270969,1.05259784384049,1.37094009497541,1
36,0,1,0.896836092826787,1.02805138668087,1.3440727434777,1
36,0,2,0.879078711534057,1.02306258884739,1.33515915387084,1
36,0,3,0.843086888202687,1.04573302736784,1.30086715251429,1
37,0,0,0.907449073776195,1.09731217965714,1.34541521069096,1
37,0,1,0.896834120601808,1.09061239481429,1.31776357682716,1
37,0,2,0.879126492689799,1.08579788234364,1.30915428785041,1
37,0,3,0.843224364704106,1.07741206966531,1.27538224564154,1
38,0,0,0.909162328631198,1.05498496631385,1.42116698725661,1
38,0,1,0.899393598327432,1.03067347704584,1.39790958580594,1
38,0,2,0.879213187936496,1.0275842177764,1.38499857986411,1
38,0,3,0.847186406780449,1.05112078313703,1.35098322611079,1
39,0,0,0.907922590112641,1.05508263835639,1.41807342403541,1
39,0,1,0.898053238221692,1.02971263742168,1.39435574297607,1
39,0,2,0.879482788626505,1.02874465628415,1.38241638354531,1
39,0,3,0.847609962012716,1.05048820239942,1.34746757380732,1
40,0,0,0.929456119783208,1.05280371393499,1.32853074840371,1
40,0,1,0.910005000761584,1.02753499888892,1.30073064605071,1
40,0,2,0.886500101293729,1.02310709835782,1.29239916832514,1
40,0,3,0.842984767680377,1.04625970736971,1.25850347926125,1
41,0,0,0.911182431908155,1.10410062784409,1.363102571444,1
41,0,1,0.89887300332911,1.09607732174054,1.33683512968175,1
41,0,2,0.878029064704386,1.08928306322893,1.32832279019947,1
41,0,3,0.848443358362096,1.08618696388212,1.29492389347215,1
42,0,0,0.93044160578026,1.05438243361047,1.44523793269318,1
42,0,1,0.912894851042843,1.02854748199284,1.42358829462312,1
42,0,2,0.886571180442341,1.02672816815834,1.41134961978732,1
42,0,3,0.855409358605615,1.049696595668,1.37052588585231,1
43,0,0,0.931973517112803,1.05182135299071,1.4709201230492,1
43,0,1,0.912329239487616,1.02686829137088,1.44608916187708,1
43,0,2,0.887353106090141,1.02303563136622,1.43741380007881,1
43,0,3,0.855678519274429,1.0445278019004,1.3992141013084,1
44,0,0,0.907942601230824,1.05606869429145,1.29384825135687,1
44,0,1,0.898118722830322,1.03185158887171,1.26252392854775,1
44,0,2,0.878375860546968,1.02810802070233,1.25527727861862,1
44,0,3,0.845759751357962,1.05103275147977,1.22301933117584,1
45,0,0,0.910360729344946,1.05620977158353,1.34823300511898,1
45,0,1,0.898236360689181,1.029854949669,1.3215612880685,1
45,0,2,0.877393393469669,1.02925743290963,1.31303941952033,1
45,0,3,0.84788817468452,1.05197785502491,1.27956818649726,1
46,0,0,0.908620594436733,1.05276332639721,1.34924537527481,1
46,0,1,0.897811132117024,1.02887240342305,1.32348903065594,1
46,0,2,0.877951117074585,1.02632150086831,1.31534332360357,1
46,0,3,0.844228019187002,1.04764884747957,1.28070479639501,1
47,0,0,0.936571368989406,1.05714550939325,1.28620734114643,1
47,0,1,0.913968920517347,1.03124995385527,1.26965275617491,1
47,0,2,0.888421433847178,1.03168640415731,1.26313509938118,1
47,0,3,0.851052078369573,1.05213863209844,1.19233540664143,1
48,0,0,0.905563186628619,1.05068692464312,1.34954570296705,1
48,0,1,0.897047663296585,1.02521558019795,1.32160732918612,1
48,0,2,0.876486307076215,1.02161992223639,1.31542419970195,1
48,0,3,0.841832709342868,1.04398565755387,1.27742319067165,1
49,0,0,0.934648494548495,1.05993853179968,1.29907848095712,1
49,0,1,0.914501307344189,1.03234692934283,1.28055141135214,1
49,0,2,0.88879718379406,1.0346698874335,1.27437848290879,1
49,0,3,0.852518598289871,1.05530540508323,1.21400752537305,1
50,0,0,0.908615591088149,1.05318114248972,1.32171431981966,1
50,0,1,0.897813718654508,1.0293486412968,1.29547451369317,1
50,0,2,0.878002667600439,1.02683407511963,1.28754276926601,1
50,0,3,0.844384863307032,1.04870517312607,1.25335685408719,1
51,3,0,0.77970226717093,1.09869419305014,1.36648410204443,1
51,3,1,0.731124886417231,1.0881011983191,1.3746767949326,0
51,3,2,0.708918827626163,1.07589025415245,1.37302577484266,0
51,3,3,0.704171054531412,1.06850957149784,1.3735791947746,0
52,3,0,0.810255102799317,1.11831650317062,1.4718016404438,1
52,3,1,0.791456872479862,1.11464454055163,1.49707706556737,1
52,3,2,0.783556239311505,1.11159361008891,1.48864696815335,1
52,3,3,0.776740934517254,1.11475220791289,1.50316722587414,1
53,3,0,0.77778615675989,1.09012643528902,1.29805406536199,1
53,3,1,0.762380161978163,1.08314527299661,1.31039009215012,1
53,3,2,0.753969301839964,1.08078089966519,1.30621656340928,1
53,3,3,0.745781379245875,1.07883283253088,1.30837691031091,0
54,3,0,0.814723612110263,1.11411978960101,1.31432024650684,1
54,3,1,0.812243164727278,1.09791168101159,1.2719006828453,1
54,3,2,0.796308124048308,1.08208531851031,1.25869449177457,1
54,3,3,0.766041166774064,1.06862896688028,1.24357013837469,1
55,3,0,0.778103307883187,1.05525896056317,1.40075823321188,1
