scenario_idx,sc_id,sc_label,m_sh,m_se_d,m_se_q
202,6,sc_1ph,0.68,0.0618,0.0379
203,6,sc_1ph,0.68,0.0652,0.0299
204,6,sc_1ph,0.68,0.0655,0.0293
205,6,sc_1ph,0.68,0.061,0.04
206,6,sc_1ph,0.68,0.0613,0.0393
207,6,sc_1ph,0.68,0.0618,0.0377
208,6,sc_1ph,0.68,0.0661,0.028
209,6,sc_1ph,0.68,0.0629,0.0352
210,6,sc_1ph,0.68,0.0623,0.0365
211,6,sc_1ph,0.68,0.0648,0.0308
212,6,sc_1ph,0.68,0.0638,0.033
213,6,sc_1ph,0.68,0.0657,0.0287
214,6,sc_1ph,0.68,0.066,0.0282
215,6,sc_1ph,0.68,0.0605,0.0416
216,6,sc_1ph,0.68,0.0642,0.0323
217,6,sc_1ph,0.68,0.0646,0.0311
218,6,sc_1ph,0.68,0.063,0.0349
219,6,sc_1ph,0.68,0.0656,0.0289
220,6,sc_1ph,0.68,0.0625,0.0362
221,6,sc_1ph,0.68,0.0615,0.0387
222,6,sc_1ph,0.68,0.0646,0.0311
223,6,sc_1ph,0.68,0.0622,0.0369
224,6,sc_1ph,0.68,0.0594,0.0441
225,6,sc_1ph,0.68,0.0625,0.036
226,6,sc_1ph,0.68,0.0609,0.0405
227,6,sc_1ph,0.68,0.0624,0.0364
228,6,sc_1ph,0.68,0.062,0.0374
229,6,sc_1ph,0.68,0.0638,0.0331
230,6,sc_1ph,0.68,0.0637,0.0334
231,6,sc_1ph,0.68,0.0652,0.0298
232,6,sc_1ph,0.68,0.0628,0.0353
233,6,sc_1ph,0.68,0.0613,0.0391
234,6,sc_1ph,0.68,0.0631,0.0348
235,6,sc_1ph,0.68,0.0634,0.0339
236,6,sc_1ph,0.68,0.0658,0.0287
237,6,sc_1ph,0.68,0.059,0.0452
238,6,sc_1ph,0.68,0.0596,0.0436
239,6,sc_1ph,0.68,0.0637,0.0335
240,6,sc_1ph,0.68,0.0657,0.0288
241,6,sc_1ph,0.68,0.0621,0.0369
242,6,sc_1ph,0.68,0.063,0.0349
243,6,sc_1ph,0.68,0.0653,0.0296
244,6,sc_1ph,0.68,0.0645,0.0313
245,6,sc_1ph,0.68,0.0617,0.038
246,6,sc_1ph,0.68,0.0632,0.0345
247,6,sc_1ph,0.68,0.0613,0.0394
248,6,sc_1ph,0.68,0.0615,0.0386
249,6,sc_1ph,0.68,0.0632,0.0345
250,6,sc_1ph,0.68,0.065,0.0303
251,7,sc_3ph,0.9,0.0,0.0
252,7,sc_3ph,0.9,0.0,0.0
253,7,sc_3ph,0.9,0.0,0.0
254,7,sc_3ph,0.9,0.0,0.0
255,7,sc_3ph,0.9,0.0,0.0
256,7,sc_3ph,0.9,0.0,0.0
257,7,sc_3ph,0.9,0.0,0.0
258,7,sc_3ph,0.9,0.0,0.0
