case_id,case_name,topology,fault_family,fault_pu,duration_s,duration_ms,phase_mode,phase_rank,fault_phase_key,fault_phase_pu,fault_start_s,fault_stop_margin_s,fault_settle_s,chopper_threshold,rchop_scale,actor_filter_tau,phase_override,model_path,nearest_actor_case_id,nearest_actor_note,nearest_actor_exact,promotion_scope
topology1_b_hvrt_040ms_1p150pu,b_hvrt_040ms_1p150pu,topology1,HVRT,1.150,0.040,40,b,single,b,[1.000 1.150 1.000],0.035,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,fallback_balanced_hvrt_no_unbalanced_specialist,false,voltage_survival_boundary_probe
topology1_c_hvrt_040ms_1p150pu,c_hvrt_040ms_1p150pu,topology1,HVRT,1.150,0.040,40,c,single,c,[1.000 1.000 1.150],0.035,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,fallback_balanced_hvrt_no_unbalanced_specialist,false,voltage_survival_boundary_probe
topology1_ab_hvrt_040ms_1p150pu,ab_hvrt_040ms_1p150pu,topology1,HVRT,1.150,0.040,40,ab,double,ab,[1.150 1.150 1.000],0.035,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,fallback_balanced_hvrt_no_unbalanced_specialist,false,voltage_survival_boundary_probe
topology1_bc_hvrt_040ms_1p150pu,bc_hvrt_040ms_1p150pu,topology1,HVRT,1.150,0.040,40,bc,double,bc,[1.000 1.150 1.150],0.035,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,fallback_balanced_hvrt_no_unbalanced_specialist,false,voltage_survival_boundary_probe
topology1_ca_hvrt_040ms_1p150pu,ca_hvrt_040ms_1p150pu,topology1,HVRT,1.150,0.040,40,ca,double,ca,[1.150 1.000 1.150],0.035,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,fallback_balanced_hvrt_no_unbalanced_specialist,false,voltage_survival_boundary_probe
topology1_balanced_hvrt_040ms_1p200pu,balanced_hvrt_040ms_1p200pu,topology1,HVRT,1.200,0.040,40,balanced,balanced,,,0.080,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,nearest_balanced_same_family,false,voltage_survival_boundary_probe
topology1_a_hvrt_040ms_1p200pu,a_hvrt_040ms_1p200pu,topology1,HVRT,1.200,0.040,40,a,single,a,[1.200 1.000 1.000],0.035,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,fallback_balanced_hvrt_no_unbalanced_specialist,false,voltage_survival_boundary_probe
topology1_b_hvrt_040ms_1p200pu,b_hvrt_040ms_1p200pu,topology1,HVRT,1.200,0.040,40,b,single,b,[1.000 1.200 1.000],0.035,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,fallback_balanced_hvrt_no_unbalanced_specialist,false,voltage_survival_boundary_probe
topology1_c_hvrt_040ms_1p200pu,c_hvrt_040ms_1p200pu,topology1,HVRT,1.200,0.040,40,c,single,c,[1.000 1.000 1.200],0.035,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,fallback_balanced_hvrt_no_unbalanced_specialist,false,voltage_survival_boundary_probe
topology1_ab_hvrt_040ms_1p200pu,ab_hvrt_040ms_1p200pu,topology1,HVRT,1.200,0.040,40,ab,double,ab,[1.200 1.200 1.000],0.035,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,fallback_balanced_hvrt_no_unbalanced_specialist,false,voltage_survival_boundary_probe
topology1_bc_hvrt_040ms_1p200pu,bc_hvrt_040ms_1p200pu,topology1,HVRT,1.200,0.040,40,bc,double,bc,[1.000 1.200 1.200],0.035,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,fallback_balanced_hvrt_no_unbalanced_specialist,false,voltage_survival_boundary_probe
topology1_ca_hvrt_040ms_1p200pu,ca_hvrt_040ms_1p200pu,topology1,HVRT,1.200,0.040,40,ca,double,ca,[1.200 1.000 1.200],0.035,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_hvrt110_const249_current_iface_actor_20260722_bc0.zip,promoted_topology1_balanced_hvrt110_60ms,fallback_balanced_hvrt_no_unbalanced_specialist,false,voltage_survival_boundary_probe
topology1_balanced_lvrt_060ms_0p750pu,balanced_lvrt_060ms_0p750pu,topology1,LVRT,0.750,0.060,60,balanced,balanced,,,0.080,0.125,0.020,850,1,0.001,false,data/models/hpt_t1_l090_pre24_b60_down35_clk_dg3_dagger2.zip,promoted_topology1_balanced_lvrt090_60ms,nearest_balanced_same_family,false,voltage_survival_boundary_probe
topology1_a_lvrt_060ms_0p750pu,a_lvrt_060ms_0p750pu,topology1,LVRT,0.750,0.060,60,a,single,a,[0.750 1.000 1.000],0.035,0.125,0.020,850,1,0,false,data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip,promoted_topology1_a_lvrt090_60ms,nearest_unbalanced_a_same_family,false,voltage_survival_boundary_probe
topology1_b_lvrt_060ms_0p750pu,b_lvrt_060ms_0p750pu,topology1,LVRT,0.750,0.060,60,b,single,b,[1.000 0.750 1.000],0.035,0.125,0.020,850,1,0,false,data/models/hpt_trustregion_promotion_20260726_round1_05_topology1_a_lvrt090_60ms_unbalanced_chunk03.zip,promoted_topology1_a_lvrt090_60ms,nearest_unbalanced_a_same_family,false,voltage_survival_boundary_probe
