"case_id","curriculum","eval_topology","eval_case_name","fault_family","fault_phase_key","eval_fault_pu","eval_fault_phase_pu","eval_duration_s","fault_start_s","fault_stop_margin_s","fault_settle_s","chopper_threshold","rchop_scale","actor_filter_tau","phase_override","init_model","baseline_score","conventional_score","score_gap","priority","notes"
"scoreopt_topology1_a_lvrt_080ms_0p950pu","scoreopt_topology1_lvrt_a","topology1","a_lvrt_080ms_0p950pu","LVRT","a","0.950","0.950 1.000 1.000","0.080","0.035","0.125","0.020","850","1","0","false","data/models/hpt_stage4_t1_a_lvrt095_80ms_traj_actor_20260727_bc0.zip","143.184311012044","142.592100520229","0.5922104918149955","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_a_lvrt_120ms_0p950pu","scoreopt_topology1_lvrt_a","topology1","a_lvrt_120ms_0p950pu","LVRT","a","0.950","0.950 1.000 1.000","0.120","0.035","0.125","0.020","850","1","0","false","data/models/hpt_stage4_t1_a_lvrt095_80ms_traj_actor_20260727_bc0.zip","144.160947545836","142.8534226715","1.3075248743359964","stage5_score_near_miss","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_lvrt_040ms_0p850pu","scoreopt_topology1_lvrt_ab","topology1","ab_lvrt_040ms_0p850pu","LVRT","ab","0.850","0.850 0.850 1.000","0.040","0.035","0.125","0.020","850","1","0","false","data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip","106.803112845587","103.994143404124","2.8089694414629918","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_lvrt_060ms_0p850pu","scoreopt_topology1_lvrt_ab","topology1","ab_lvrt_060ms_0p850pu","LVRT","ab","0.850","0.850 0.850 1.000","0.060","0.035","0.125","0.020","850","1","0","false","data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip","107.557204847407","103.993333609467","3.563871237939992","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_lvrt_080ms_0p850pu","scoreopt_topology1_lvrt_ab","topology1","ab_lvrt_080ms_0p850pu","LVRT","ab","0.850","0.850 0.850 1.000","0.080","0.035","0.125","0.020","850","1","0","false","data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip","151.835894773799","148.337687940392","3.4982068334070107","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_lvrt_120ms_0p850pu","scoreopt_topology1_lvrt_ab","topology1","ab_lvrt_120ms_0p850pu","LVRT","ab","0.850","0.850 0.850 1.000","0.120","0.035","0.125","0.020","850","1","0","false","data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip","152.04332551733","149.226718511598","2.81660700573201","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_lvrt_040ms_0p900pu","scoreopt_topology1_lvrt_ab","topology1","ab_lvrt_040ms_0p900pu","LVRT","ab","0.900","0.900 0.900 1.000","0.040","0.035","0.125","0.020","850","1","0","false","data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip","105.524823229384","102.78218031278","2.742642916603998","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_lvrt_060ms_0p900pu","scoreopt_topology1_lvrt_ab","topology1","ab_lvrt_060ms_0p900pu","LVRT","ab","0.900","0.900 0.900 1.000","0.060","0.035","0.125","0.020","850","1","0","false","data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip","106.015360281519","102.888321369442","3.1270389120769977","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_lvrt_080ms_0p900pu","scoreopt_topology1_lvrt_ab","topology1","ab_lvrt_080ms_0p900pu","LVRT","ab","0.900","0.900 0.900 1.000","0.080","0.035","0.125","0.020","850","1","0","false","data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip","148.552552677415","145.832634669057","2.7199180083580075","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_lvrt_120ms_0p900pu","scoreopt_topology1_lvrt_ab","topology1","ab_lvrt_120ms_0p900pu","LVRT","ab","0.900","0.900 0.900 1.000","0.120","0.035","0.125","0.020","850","1","0","false","data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip","148.96390452243","146.725671905001","2.2382326174289915","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_lvrt_040ms_0p950pu","scoreopt_topology1_lvrt_ab","topology1","ab_lvrt_040ms_0p950pu","LVRT","ab","0.950","0.950 0.950 1.000","0.040","0.035","0.125","0.020","850","1","0","false","data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip","106.796307889752","101.890949739975","4.905358149777001","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_lvrt_060ms_0p950pu","scoreopt_topology1_lvrt_ab","topology1","ab_lvrt_060ms_0p950pu","LVRT","ab","0.950","0.950 0.950 1.000","0.060","0.035","0.125","0.020","850","1","0","false","data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip","106.283177699451","101.967405555403","4.3157721440479975","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_lvrt_080ms_0p950pu","scoreopt_topology1_lvrt_ab","topology1","ab_lvrt_080ms_0p950pu","LVRT","ab","0.950","0.950 0.950 1.000","0.080","0.035","0.125","0.020","850","1","0","false","data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip","145.34310270028","142.919027280853","2.4240754194270266","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
"scoreopt_topology1_ab_lvrt_120ms_0p950pu","scoreopt_topology1_lvrt_ab","topology1","ab_lvrt_120ms_0p950pu","LVRT","ab","0.950","0.950 0.950 1.000","0.120","0.035","0.125","0.020","850","1","0","false","data/models/hpt_unbalanced_t1_ab_lvrt090_trajteacher_tau0_bcstrong_20260721_bc0.zip","146.365048927809","143.683976341261","2.681072586547998","stage5_score_optimize","Stage-5 topology1 unbalanced score optimization: already voltage-survival, target is beat conventional without breaking timestep envelope."
