model,topology,grid_V,grid_pu,target_phase_rms,cmd_m_reg_d,cmd_m_reg_q,cmd_m_energy_d,cmd_m_energy_q,action_semantics,action_raw_available,action_projected_available,action_effective_available,action_raw_source,action_projected_source,action_effective_source,raw_m_reg_d,raw_m_reg_q,raw_m_energy_d,raw_m_energy_q,lv_rms_mean,lv_unbalance,lv_pu_mean,vdc_mean,vdc_min,vdc_max,energy_i_rms_mean,energy_i_unbalance,obs_dim,action_dim,action_max_abs,reg_d_mean,reg_q_mean,energy_d_mean,energy_q_mean,projected_m_reg_d_mean,projected_m_reg_q_mean,projected_m_energy_d_mean,projected_m_energy_q_mean,effective_m_reg_d_mean,effective_m_reg_q_mean,effective_m_energy_d_mean,effective_m_energy_q_mean
hpt_v2_topology2_paper,topology2,9000,0.9,207,0,0,0,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,0,139.435995968691,0.474873341477036,0.673603845259378,0.20849212998815,-0.649548487129572,800.430058747719,277.687575697294,30.7686934940116,24,4,0.95,0,0,0.717781980817339,0,0,0,0.717781980817339,0,0,0,0.717781980817339,0
hpt_v2_topology2_paper,topology2,9000,0.9,207,0,0,0.2,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0.2,0,139.48438816736,0.613753716043135,0.673837623996906,0.295191658060431,-0.114157076707793,809.455718955837,293.117713498553,53.5516232502278,24,4,0.95,0,0,0.729578872386476,0,0,0,0.729578872386476,0,0,0,0.729578872386476,0
hpt_v2_topology2_paper,topology2,9000,0.9,207,0,0,-0.2,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,-0.2,0,139.437720061366,0.462624494441741,0.673612174209495,0.208958886809906,-0.563581064959801,800.430058747719,278.339343805052,30.647153021803,24,4,0.95,0,0,0.712394501593872,0,0,0,0.712394501593872,0,0,0,0.712394501593872,0
hpt_v2_topology2_paper,topology2,9000,0.9,207,0,0,0.4,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0.4,0,139.451672942448,0.604376069329277,0.673679579432115,0.320083034111096,-0.247605874193742,861.721820381898,297.508193915359,55.8889884195821,24,4,0.95,0,0,0.757720508573317,0,0,0,0.757720508573317,0,0,0,0.757720508573317,0
hpt_v2_topology2_paper,topology2,9000,0.9,207,0,0,-0.4,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,-0.4,0,139.438037142247,0.465571444701084,0.673613706001192,0.210276225662629,-0.523901087950735,800.376782632035,278.248545277982,30.7542298598001,24,4,0.95,0,0,0.711247474406384,0,0,0,0.711247474406384,0,0,0,0.711247474406384,0
hpt_v2_topology2_paper,topology2,9000,0.9,207,0,0,0,0.2,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,0.2,139.288627905829,0.537194705588036,0.672891922250383,0.606302293009692,-0.891673873966039,826.073022497934,269.09747515806,6.92889658093662,24,4,0.95,0,0,0.691025442019495,0.199999999999997,0,0,0.691025442019495,0.199999999999997,0,0,0.691025442019495,0.199999999999997
hpt_v2_topology2_paper,topology2,9000,0.9,207,0,0,0,-0.2,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,-0.2,139.513561449511,0.629944358732615,0.673978557727108,0.175361552720616,-0.230873419013886,800.430058747719,291.575523115778,50.3547735112963,24,4,0.95,0,0,0.739274420273883,-0.199999999999997,0,0,0.739274420273883,-0.199999999999997,0,0,0.739274420273883,-0.199999999999997
hpt_v2_topology2_paper,topology2,10000,1,207,0,0,0,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,0,154.960926278277,0.541462407969362,0.748603508590711,0.253056371348122,-0.757964825938999,800.934599025955,311.830084753139,37.8340680747083,24,4,0.95,0,0,0.720093346146822,0,0,0,0.720093346146822,0,0,0,0.720093346146822,0
hpt_v2_topology2_paper,topology2,10000,1,207,0,0,0.2,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0.2,0,154.99828255041,0.748353931820418,0.748783973673479,0.420379296017284,-0.808945819593647,828.271933997618,334.871163990036,71.4205565367192,24,4,0.95,0,0,0.71674209084378,0,0,0,0.71674209084378,0,0,0,0.71674209084378,0
hpt_v2_topology2_paper,topology2,10000,1,207,0,0,-0.2,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,-0.2,0,154.942643314946,0.547411464194795,0.74851518509636,0.249009325296547,-0.303516516351463,800.638051383687,309.010334242431,35.6180190874804,24,4,0.95,0,0,0.716028280814236,0,0,0,0.716028280814236,0,0,0,0.716028280814236,0
hpt_v2_topology2_paper,topology2,10000,1,207,0,0,0.4,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0.4,0,154.975578898679,0.712919102833496,0.748674294196519,0.385266247709883,-0.355205573729988,862.743188220163,333.518572457703,67.5569651288321,24,4,0.95,0,0,0.757643227706451,0,0,0,0.757643227706451,0,0,0,0.757643227706451,0
hpt_v2_topology2_paper,topology2,10000,1,207,0,0,-0.4,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,-0.4,0,154.939916336923,0.550699418853185,0.748502011289482,0.252135741942454,-0.394321850497147,800.501515200179,308.580644564334,35.2582520022073,24,4,0.95,0,0,0.715303945504913,0,0,0,0.715303945504913,0,0,0,0.715303945504913,0
hpt_v2_topology2_paper,topology2,10000,1,207,0,0,0,0.2,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,0.2,154.857527433764,0.597173802350085,0.748103997264559,0.578856060809381,-0.50811614329723,850.648717161304,299.804674513692,17.7028845709638,24,4,0.95,0,0,0.68553095348009,0.199999999999997,0,0,0.68553095348009,0.199999999999997,0,0,0.68553095348009,0.199999999999997
hpt_v2_topology2_paper,topology2,10000,1,207,0,0,0,-0.2,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,-0.2,154.979951844853,0.627800440124219,0.748695419540351,0.174888690852955,-0.162330548998431,800.615026938789,319.282113608155,48.9450065495241,24,4,0.95,0,0,0.74371888223668,-0.199999999999997,0,0,0.74371888223668,-0.199999999999997,0,0,0.74371888223668,-0.199999999999997
hpt_v2_topology2_paper,topology2,11000,1.1,207,0,0,0,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,0,170.55340719227,0.811979003269755,0.8239295033443,0.424365571404121,-0.743306864333783,802.054608025585,358.810710615404,64.9180610164427,24,4,0.95,0,0,0.696568583459842,0,0,0,0.696568583459842,0,0,0,0.696568583459842,0
hpt_v2_topology2_paper,topology2,11000,1.1,207,0,0,0.2,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0.2,0,170.499480190897,0.85588871579489,0.823668986429453,0.606172658885385,-0.928659169689641,854.72497666155,378.237305854702,86.3993056876145,24,4,0.95,0,0,0.690786645100013,0,0,0,0.690786645100013,0,0,0,0.690786645100013,0
hpt_v2_topology2_paper,topology2,11000,1.1,207,0,0,-0.2,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,-0.2,0,170.515568104906,0.720125441926911,0.823746705820802,0.387495582431186,-0.562949104184458,801.463038453955,351.628960303592,52.1768369217943,24,4,0.95,0,0,0.693801274243879,0,0,0,0.693801274243879,0,0,0,0.693801274243879,0
hpt_v2_topology2_paper,topology2,11000,1.1,207,0,0,0.4,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0.4,0,170.506389326423,0.845082047973705,0.823702363895763,0.520289926159073,-0.852200121347388,871.793981917623,372.558190005156,82.7537046259919,24,4,0.95,0,0,0.755998143200034,0,0,0,0.755998143200034,0,0,0,0.755998143200034,0
hpt_v2_topology2_paper,topology2,11000,1.1,207,0,0,-0.4,0,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,-0.4,0,170.513224214359,0.712707956678258,0.823735382678062,0.37874528314761,-0.875461905510036,800.711639173834,350.863089266228,50.4450718115834,24,4,0.95,0,0,0.69402451338984,0,0,0,0.69402451338984,0,0,0,0.69402451338984,0
hpt_v2_topology2_paper,topology2,11000,1.1,207,0,0,0,0.2,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,0.2,170.540485888792,0.685646339281959,0.823867081588369,0.652520780592537,-0.909649333421974,852.97540217356,348.9762046649,48.3007699886934,24,4,0.95,0,0,0.646740495092072,0.199999999999997,0,0,0.646740495092072,0.199999999999997,0,0,0.646740495092072,0.199999999999997
hpt_v2_topology2_paper,topology2,11000,1.1,207,0,0,0,-0.2,fixed_energy_command_through_controller_projection,1,1,1,hpt_sac_fixed_*,HPTSAC_action,HPTSAC_action,0,0,0,-0.2,170.471023283306,0.684829674364778,0.823531513445921,0.191219048355141,-0.373256407703147,800.799995129858,351.392628899609,54.521250830235,24,4,0.95,0,0,0.737844801111127,-0.199999999999997,0,0,0.737844801111127,-0.199999999999997,0,0,0.737844801111127,-0.199999999999997
