model,topology,scenario_type,condition_class,case_name,t,window_zone,window_ok,window_reason,grid_V,fault_pu,grid_pu,lv_rms_inst,vdc_inst,obs_01,obs_02,obs_03,obs_04,obs_05,obs_06,obs_07,obs_08,obs_09,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,action_01,actor_action_01,action_02,actor_action_02,action_03,actor_action_03,action_04,actor_action_04
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.08,"fault",1,"",NaN,0.9,0.9,187.731487076447,910.718098035629,0.913665490066954,1.08569205456678,0.0353088503386072,1.13839762254454,-0.138397622544536,0.0863345099330458,0.253755840837577,0.516162504857731,0.0034181700953413,8.71410589998686e-05,-3.16535101902677e-05,8.41804946942787e-06,0,1,0,1,1,0,0.0995200000000081,0,1.08569205456678,1.12893849218134,-2.15158306629748,-2.62158682205338,0,0.0033261133529654,0,8.54293679040017e-05,0,-3.05291925187314e-05,0,8.73290475513715e-06
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.082,"fault",1,"",NaN,0.9,0.9,186.527577426857,900.42998762962,0.908544299763207,1.12642102611132,0.0358985452439442,1.12553748453702,-0.125537484537025,0.0914557002367933,0.200987765359849,0.511390159851967,0.00311491493865394,6.77166050352175e-05,-2.70179743719747e-05,7.79581986049682e-06,0,1,0,1,1,0,0.103520000000009,0,1.08953057978961,1.12724551304996,5,2.91466954282282,0,0.00375414966357503,0,8.87879661104824e-05,0,-3.70927407731486e-05,0,6.65867940516382e-06
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.084,"fault",1,"",NaN,0.9,0.9,188.718193711038,865.764975918337,0.906236407336824,1.11561414560342,0.0445734596723398,1.08220621989792,-0.0822062198979208,0.0937635926631762,0.188744760425232,0.544415740585185,0.0082779996287325,6.70776730684911e-05,-4.23276032027727e-05,6.83145208423783e-06,0,1,0,1,1,0,0.107520000000011,0,1.09097636190453,1.11561414560342,1.52430112614921,1.01317098415699,0,0.00811243900531517,0,6.57049343078272e-05,0,-4.12108340152647e-05,0,6.93650181646653e-06
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.086,"fault",1,"",NaN,0.9,0.9,192.038758327688,863.639035669506,0.909230732505031,1.09602902870041,0.0471614092159458,1.07954879458688,-0.0795487945868831,0.0907692674949694,0.244381103478385,0.545243770991626,0.00919419645382284,0.000175081518038939,-0.000102310724820525,-9.83829934332372e-06,0,1,0,1,1,0,0.111520000000012,0,1.09602902870041,1.13131841852124,-5,-1.79455936119255,0,0.00899618387012576,0,0.000171327923978469,0,-0.000100659102220361,0,-6.37302523772944e-06
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.088,"fault",1,"",NaN,0.9,0.9,194.570043544278,878.574315768661,0.917766564025424,1.09955445438737,0.0260872478131438,1.09821789471083,-0.0982178947108259,0.0822334359745758,0.252851570809855,0.514128951672988,0.00596932812273837,7.32901268259626e-05,-3.5567526657256e-05,6.52266790621286e-06,0,1,0,1,1,0,0.115520000000013,0,1.0960482142827,1.12849225912117,-0.393106591110692,-1.30468080744439,0,0.00589064580793383,0,7.1685676343175e-05,0,-3.46675265206678e-05,0,6.01361141873238e-06
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.09,"fault",1,"",NaN,0.9,0.9,189.242480445231,881.746604463877,0.919810826218913,1.11806830831449,0.0230498239148517,1.10218325557985,-0.102183255579847,0.0801891737810871,0.227228175881027,0.485901258568654,0.00538479526715232,8.17422252248465e-05,-3.78838783032411e-05,-7.48525161859058e-06,0,1,0,1,1,0,0.119520000000014,0,1.07551560673924,1.11806830831449,1.44712731648355,1.84419988385942,0,0.00527822567550254,0,8.00189662857671e-05,0,-3.68636100957163e-05,0,-7.082104047412e-06
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.092,"fault",0,"gbt_lvrt_envelope_inst",NaN,0.9,0.9,183.166168699823,861.886898405412,0.910879268301132,1.09365783710002,0.00851118696848122,1.07735862300676,-0.0773586230067647,0.0891207316988682,0.222362879071871,0.483009232322924,0.00801864615151736,0.000119632330801533,-6.17351252356049e-05,-3.15356250449904e-05,0,1,0,1,1,0,0.123520000000015,0,1.08329230983848,1.12486029232539,-5,-0.861659194862918,0,0.00783296014726422,0,0.000117870589337606,0,-6.07564737548585e-05,0,-3.00320782899842e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.094,"fault",1,"",NaN,0.9,0.9,189.750455863121,854.659727518766,0.907042235596183,1.0731537149413,0.0367742291243872,1.06832465939846,-0.0683246593984579,0.0929577644038168,0.199228804985393,0.494097465035987,0.00836541432776031,9.56029843309686e-05,-7.04348161178258e-05,-1.55351581386837e-05,0,0,0,1,0,1,0,0,1.10280836335197,1.13913488312675,-5,-2.40724027540207,0.6,0.00832553636935597,0,9.09285778815302e-05,0,-6.91261971418437e-05,0,-1.29425053638948e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.096,"recovery",1,"",NaN,0.9,0.9,197.43490044863,859.977931340421,0.915386775971922,1.14025866104478,0.0574594202743281,1.07497241417553,-0.0749724141755259,0.0846132240280777,0.216356036461102,0.5072903275601,0.00921659200846765,0.000133618567551279,-9.06703019283923e-05,-3.09643602335591e-05,0,1,0,1,1,0,0.131520000000018,0,1.0984737813647,1.14025866104478,1.93939484111949,2.42518488424293,0,0.00903362644288539,0,0.00013087407495228,0,-8.86484644383816e-05,0,-3.02152249100262e-05
"hpt_v2_topology2_paper","topology2","fault","shallow_lvrt","sag_0p90",0.098,"recovery",1,"",NaN,0.9,0.9,199.374131617747,858.530158425203,0.92963108348872,1.14212111189861,0.0460017685821305,1.0731626980315,-0.0731626980315034,0.0703689165112803,0.258994856560802,0.509416977142247,0.0134876673219769,0.000124000277786288,-8.509540293805e-05,-3.26922193012652e-05,0,1,0,1,1,0,0.135520000000019,0,1.11579751366942,1.15095842351692,0.442691479651813,0.257374147721645,0,0.0132252955337276,0,0.000121422200697319,0,-8.31139752525243e-05,0,-3.20118898901668e-05
