"topology","case_name","fault_pu","fault_duration_s","phase_mode","fault_family","conventional_voltage_survival_pass","conventional_score","conventional_reason","sac_voltage_survival_pass","sac_score","sac_reason","sac_beats_conventional","sac_minus_conventional_score","conventional_vdc_min","conventional_vdc_max","sac_vdc_min","sac_vdc_max","conventional_envelope_violation_max_pu","sac_envelope_violation_max_pu","conventional_recovery_violation_max_pu","sac_recovery_violation_max_pu"
"topology2","ab_lvrt_080ms_0p850pu","0.85","0.08","ab","LVRT","False","238.129175703733","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","True","139.356032258428","","True","-98.77314344530501","726.630463107477","834.600710073987","670.167677920061","900.278690253127","0.0880640546962022","0.0","0.0781933362338145","0.0"
"topology2","ab_lvrt_080ms_0p900pu","0.9","0.08","ab","LVRT","False","246.080834534837","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","True","143.137342057352","","True","-102.94349247748502","732.008937203134","834.600710073987","694.940374539387","900.278690253127","0.128279537986246","0.0","0.0817462364789149","0.0"
"topology2","ab_lvrt_080ms_0p950pu","0.95","0.08","ab","LVRT","False","246.281964988451","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","True","144.356362107278","","True","-101.925602881173","734.67574687395","835.352250155454","727.007423812709","900.278690253127","0.153955196687992","0.0","0.0813037560055522","0.0"
"topology2","ab_lvrt_120ms_0p850pu","0.85","0.12","ab","LVRT","False","240.946303054062","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","True","145.638371926198","","True","-95.30793112786401","726.630463107477","834.600710073987","670.167677920061","900.278690253127","0.0880640546962022","0.0","0.071375923880946","0.0"
"topology2","ab_lvrt_120ms_0p900pu","0.9","0.12","ab","LVRT","False","249.567952130857","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","True","148.921417173896","","True","-100.646534956961","732.008937203134","834.600710073987","694.940374539387","900.278690253127","0.128279537986246","0.0","0.0749887248816213","0.0"
"topology2","balanced_hvrt_060ms_1p100pu","1.1","0.06","balanced","HVRT","False","188.704553320719","timestep_fault_lv_band;timestep_recovery_envelope","True","114.067011689805","","True","-74.63754163091399","751.334951242972","849.932486052289","762.393402180383","999.984542947764","0.0","0.0","0.365733376863586","0.0"
"topology2","balanced_hvrt_080ms_1p100pu","1.1","0.08","balanced","HVRT","False","273.798290769371","timestep_fault_lv_band;timestep_recovery_envelope","True","113.631968914177","","True","-160.16632185519404","751.334951242972","849.932486052289","762.393402180383","999.984542947764","0.0","0.0","0.365208387788403","0.0"
"topology2","balanced_hvrt_120ms_1p050pu","1.05","0.12","balanced","HVRT","False","273.613579384675","timestep_fault_lv_band;timestep_recovery_envelope","True","116.677632953659","","True","-156.93594643101602","751.334951242972","849.932486052289","762.393402180383","978.341788542831","0.0","0.0","0.360868120621127","0.0"
"topology2","balanced_hvrt_120ms_1p100pu","1.1","0.12","balanced","HVRT","False","274.275769436547","timestep_fault_lv_band;timestep_recovery_envelope","True","112.761613101319","","True","-161.51415633522802","751.334951242972","852.59232447164","762.393402180383","999.984542947764","0.0","0.0","0.358637236712857","0.0"
"topology2","balanced_lvrt_040ms_0p850pu","0.85","0.04","balanced","LVRT","False","263.973072066849","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","True","115.12381757055","","True","-148.849254496299","736.083036537887","849.932486052289","757.547820229235","978.447797160931","0.390232884935844","0.0","0.358621329404534","0.0"
"topology2","balanced_lvrt_040ms_0p900pu","0.9","0.04","balanced","LVRT","False","264.380435166859","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","True","113.653480907103","","True","-150.72695425975598","742.442255494825","849.932486052289","761.399544354245","978.447797160931","0.414622837317037","0.0","0.369125848009112","0.0"
"topology2","balanced_lvrt_060ms_0p850pu","0.85","0.06","balanced","LVRT","False","270.100005691947","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","True","129.330082927513","","True","-140.769922764434","736.083036537887","849.932486052289","757.547820229235","978.447797160931","0.390232884935844","0.0","0.352593182808041","0.0"
"topology2","balanced_lvrt_060ms_0p900pu","0.9","0.06","balanced","LVRT","False","264.25965703311","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","True","113.664808049493","","True","-150.594848983617","742.442255494825","849.932486052289","761.399544354245","978.447797160931","0.414622837317037","0.0","0.353774172478724","0.0"
"topology2","balanced_lvrt_080ms_0p850pu","0.85","0.08","balanced","LVRT","False","340.447681670585","timestep_fault_lv_band;timestep_voltage_envelope;timestep_recovery_envelope","True","136.17800606916","","True","-204.26967560142498","736.083036537887","849.932486052289","757.547820229235","978.447797160931","0.390232884935844","0.0","0.340708779250265","0.0"
