dataset,case_id,current_weight,recovery_weight,fail_penalty,conventional_sensitivity_score,specialist_sensitivity_score,specialist_beats_under_weights,comparison_type
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,100.0,120.0,200.0,216.8344279486792,8.681155269778003,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,100.0,240.0,0.0,17.973886619738416,8.681155269778003,True,no_fail_penalty_continuous
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,100.0,240.0,50.0,67.97388661973841,8.681155269778003,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,100.0,240.0,100.0,117.97388661973841,8.681155269778003,True,with_fail_penalty
stage2_8row,topology1_hvrt110_60ms_current_iface_const249,100.0,240.0,200.0,217.9738866197384,8.681155269778003,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,25.0,60.0,0.0,146.19868786786378,9.474031191724967,True,no_fail_penalty_continuous
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,25.0,60.0,50.0,196.19868786786378,9.474031191724967,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,25.0,60.0,100.0,246.19868786786378,9.474031191724967,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,25.0,60.0,200.0,346.1986878678638,9.474031191724967,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,25.0,120.0,0.0,153.70805777464412,9.474031191724967,True,no_fail_penalty_continuous
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,25.0,120.0,50.0,203.70805777464412,9.474031191724967,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,25.0,120.0,100.0,253.70805777464412,9.474031191724967,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,25.0,120.0,200.0,353.7080577746441,9.474031191724967,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,25.0,240.0,0.0,168.72679758820485,9.474031191724967,True,no_fail_penalty_continuous
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,25.0,240.0,50.0,218.72679758820485,9.474031191724967,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,25.0,240.0,100.0,268.7267975882048,9.474031191724967,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,25.0,240.0,200.0,368.7267975882048,9.474031191724967,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,50.0,60.0,0.0,156.75028712633053,13.66480804949347,True,no_fail_penalty_continuous
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,50.0,60.0,50.0,206.75028712633053,13.66480804949347,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,50.0,60.0,100.0,256.75028712633053,13.66480804949347,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,50.0,60.0,200.0,356.75028712633053,13.66480804949347,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,50.0,120.0,0.0,164.2596570331109,13.66480804949347,True,no_fail_penalty_continuous
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,50.0,120.0,50.0,214.2596570331109,13.66480804949347,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,50.0,120.0,100.0,264.2596570331109,13.66480804949347,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,50.0,120.0,200.0,364.2596570331109,13.66480804949347,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,50.0,240.0,0.0,179.2783968466716,13.66480804949347,True,no_fail_penalty_continuous
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,50.0,240.0,50.0,229.2783968466716,13.66480804949347,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,50.0,240.0,100.0,279.2783968466716,13.66480804949347,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,50.0,240.0,200.0,379.2783968466716,13.66480804949347,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,100.0,60.0,0.0,177.853485643264,22.046361765030472,True,no_fail_penalty_continuous
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,100.0,60.0,50.0,227.853485643264,22.046361765030472,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,100.0,60.0,100.0,277.853485643264,22.046361765030472,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,100.0,60.0,200.0,377.853485643264,22.046361765030472,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,100.0,120.0,0.0,185.36285555004434,22.046361765030472,True,no_fail_penalty_continuous
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,100.0,120.0,50.0,235.36285555004434,22.046361765030472,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,100.0,120.0,100.0,285.36285555004434,22.046361765030472,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,100.0,120.0,200.0,385.36285555004434,22.046361765030472,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,100.0,240.0,0.0,200.38159536360507,22.046361765030472,True,no_fail_penalty_continuous
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,100.0,240.0,50.0,250.38159536360507,22.046361765030472,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,100.0,240.0,100.0,300.3815953636051,22.046361765030472,True,with_fail_penalty
stage2_8row,topology2_lvrt090_60ms_phase_nonoise_retrain,100.0,240.0,200.0,400.3815953636051,22.046361765030472,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,25.0,60.0,0.0,67.87916015434253,9.943573408269636,True,no_fail_penalty_continuous
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,25.0,60.0,50.0,117.87916015434253,9.943573408269636,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,25.0,60.0,100.0,167.87916015434251,9.943573408269636,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,25.0,60.0,200.0,267.8791601543425,9.943573408269636,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,25.0,120.0,0.0,75.90481433146503,9.943573408269636,True,no_fail_penalty_continuous
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,25.0,120.0,50.0,125.90481433146503,9.943573408269636,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,25.0,120.0,100.0,175.90481433146505,9.943573408269636,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,25.0,120.0,200.0,275.90481433146505,9.943573408269636,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,25.0,240.0,0.0,91.95612268571006,9.943573408269636,True,no_fail_penalty_continuous
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,25.0,240.0,50.0,141.95612268571006,9.943573408269636,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,25.0,240.0,100.0,191.95612268571006,9.943573408269636,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,25.0,240.0,200.0,291.95612268571006,9.943573408269636,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,50.0,60.0,0.0,80.67889914359704,14.07578171401114,True,no_fail_penalty_continuous
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,50.0,60.0,50.0,130.67889914359705,14.07578171401114,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,50.0,60.0,100.0,180.67889914359705,14.07578171401114,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,50.0,60.0,200.0,280.67889914359705,14.07578171401114,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,50.0,120.0,0.0,88.70455332071955,14.07578171401114,True,no_fail_penalty_continuous
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,50.0,120.0,50.0,138.70455332071955,14.07578171401114,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,50.0,120.0,100.0,188.70455332071955,14.07578171401114,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,50.0,120.0,200.0,288.7045533207196,14.07578171401114,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,50.0,240.0,0.0,104.75586167496456,14.07578171401114,True,no_fail_penalty_continuous
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,50.0,240.0,50.0,154.75586167496456,14.07578171401114,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,50.0,240.0,100.0,204.75586167496456,14.07578171401114,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,50.0,240.0,200.0,304.75586167496454,14.07578171401114,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,100.0,60.0,0.0,106.27837712210604,22.340198325494143,True,no_fail_penalty_continuous
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,100.0,60.0,50.0,156.27837712210604,22.340198325494143,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,100.0,60.0,100.0,206.27837712210604,22.340198325494143,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,100.0,60.0,200.0,306.278377122106,22.340198325494143,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,100.0,120.0,0.0,114.30403129922854,22.340198325494143,True,no_fail_penalty_continuous
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,100.0,120.0,50.0,164.30403129922854,22.340198325494143,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,100.0,120.0,100.0,214.30403129922854,22.340198325494143,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,100.0,120.0,200.0,314.30403129922854,22.340198325494143,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,100.0,240.0,0.0,130.35533965347355,22.340198325494143,True,no_fail_penalty_continuous
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,100.0,240.0,50.0,180.35533965347355,22.340198325494143,True,with_fail_penalty
stage2_8row,topology2_hvrt110_60ms_balanced_retrain,100.0,240.0,100.0,230.35533965347355,22.340198325494143,True,with_fail_penalty
