scenario_idx,sc_id,m_sh,m_se_d,m_se_q
166,5,0.797,-0.0901,0.0207
167,5,0.7924,-0.0989,0.0223
168,5,0.7868,-0.1083,0.0253
169,5,0.8026,-0.0751,0.0199
170,5,0.7848,-0.1119,0.0262
171,5,0.7984,-0.0861,0.0205
172,5,0.796,-0.0926,0.0209
173,5,0.788,-0.1063,0.0248
174,5,0.791,-0.1013,0.0231
175,5,0.7981,-0.0869,0.0206
176,5,0.7882,-0.106,0.0247
177,5,0.8015,-0.0777,0.0201
178,5,0.7843,-0.1127,0.0265
179,5,0.7857,-0.1103,0.0258
180,5,0.7974,-0.089,0.0207
181,5,0.8004,-0.0805,0.0203
182,5,0.7853,-0.1109,0.026
183,5,0.7884,-0.1056,0.0245
184,5,0.8059,-0.0681,0.0191
185,5,0.795,-0.0946,0.0212
186,5,0.7934,-0.0972,0.0218
187,5,0.7808,-0.1184,0.0283
188,5,0.8062,-0.0676,0.019
189,5,0.7963,-0.0919,0.0208
190,5,0.7936,-0.097,0.0217
191,5,0.8006,-0.0799,0.0203
192,5,0.7996,-0.0828,0.0204
193,5,0.7994,-0.0835,0.0204
194,5,0.7889,-0.1049,0.0243
195,5,0.8027,-0.075,0.0199
196,5,0.7944,-0.0956,0.0214
197,5,0.7802,-0.1195,0.0287
198,5,0.7897,-0.1035,0.0239
199,5,0.8004,-0.0806,0.0203
200,5,0.8067,-0.0666,0.0188
201,6,0.8752,-0.0816,-0.0962
202,6,0.875,-0.0834,-0.1035
203,6,0.8751,-0.0812,-0.0946
204,6,0.8751,-0.0812,-0.0938
205,6,0.875,-0.0833,-0.1047
206,6,0.875,-0.0834,-0.1044
207,6,0.875,-0.0834,-0.1033
208,6,0.8751,-0.0812,-0.0926
209,6,0.8751,-0.0828,-0.101
210,6,0.875,-0.0832,-0.1022
211,6,0.8752,-0.0815,-0.0957
212,6,0.8751,-0.0822,-0.0986
213,6,0.8751,-0.0812,-0.0933
214,6,0.8751,-0.0812,-0.0927
215,6,0.8751,-0.083,-0.1055
216,6,0.8752,-0.082,-0.0977
217,6,0.8752,-0.0816,-0.0962
218,6,0.8751,-0.0828,-0.1007
219,6,0.8751,-0.0812,-0.0935
220,6,0.875,-0.0831,-0.1019
221,6,0.875,-0.0834,-0.104
222,6,0.8752,-0.0816,-0.0962
223,6,0.875,-0.0832,-0.1026
224,6,0.8752,-0.0825,-0.1066
225,6,0.875,-0.0831,-0.1017
226,6,0.8751,-0.0832,-0.105
227,6,0.875,-0.0831,-0.1021
228,6,0.875,-0.0833,-0.103
229,6,0.8751,-0.0823,-0.0987
230,6,0.8751,-0.0823,-0.0991
231,6,0.8751,-0.0812,-0.0945
232,6,0.8751,-0.0829,-0.1011
233,6,0.875,-0.0834,-0.1043
234,6,0.8751,-0.0827,-0.1005
235,6,0.8751,-0.0825,-0.0997
236,6,0.8751,-0.0812,-0.0933
237,6,0.8753,-0.0823,-0.1072
238,6,0.8752,-0.0826,-0.1064
239,6,0.8751,-0.0824,-0.0992
240,6,0.8751,-0.0812,-0.0934
241,6,0.875,-0.0832,-0.1026
242,6,0.8751,-0.0828,-0.1007
243,6,0.8751,-0.0812,-0.0942
244,6,0.8752,-0.0817,-0.0966
245,6,0.875,-0.0834,-0.1036
246,6,0.8751,-0.0826,-0.1002
247,6,0.875,-0.0834,-0.1044
248,6,0.875,-0.0834,-0.104
249,6,0.8751,-0.0827,-0.1003
250,6,0.8752,-0.0813,-0.0951
251,7,0.7944,0.0686,0.0759
252,7,0.7979,0.0592,0.0746
253,7,0.7965,0.062,0.075
254,7,0.7996,0.0555,0.0736
255,7,0.7949,0.0665,0.0756
256,7,0.7963,0.0625,0.0751
257,7,0.7993,0.0574,0.074
258,7,0.7964,0.062,0.075
259,7,0.7997,0.0558,0.0736
260,7,0.7987,0.0582,0.0742
261,7,0.7966,0.0615,0.075
262,7,0.7994,0.0546,0.0735
263,7,0.7974,0.0599,0.0748
264,7,0.7987,0.0582,0.0742
265,7,0.7945,0.0678,0.0758
266,7,0.7953,0.065,0.0754
267,7,0.7981,0.0591,0.0745
268,7,0.7984,0.0586,0.0744
269,7,0.7989,0.0522,0.0735
270,7,0.7941,0.0698,0.0762
271,7,0.7993,0.0538,0.0735
272,7,0.7986,0.0584,0.0743
273,7,0.7964,0.062,0.075
274,7,0.7944,0.0685,0.0759
275,7,0.7964,0.062,0.075
276,7,0.7987,0.0582,0.0743
