scenario_idx,sc_id,m_sh,m_se_d,m_se_q,vdc_min,vdc_max,i2_max,lvrt_pass
153,5,0.8036,-0.0727,0.0197,0.6284,0.9162,1.3318,0
154,5,0.7843,-0.1128,0.0265,0.7682,0.8795,1.6380,1
155,5,0.8005,-0.0804,0.0203,0.7756,0.8947,1.3651,1
156,5,0.7943,-0.0958,0.0215,0.6206,0.9621,1.4471,0
157,5,0.7865,-0.1088,0.0254,0.6108,0.8809,1.6068,0
158,5,0.7967,-0.0909,0.0208,0.7651,0.8861,1.3617,1
159,5,0.7999,-0.0820,0.0204,0.6276,0.9980,1.3689,0
160,5,0.8075,-0.0652,0.0185,0.6249,0.9323,1.2042,0
161,5,0.7928,-0.0984,0.0221,0.6612,0.8819,1.4991,0
162,5,0.7911,-0.1012,0.0231,0.6152,0.9822,1.4184,0
163,5,0.7865,-0.1089,0.0255,0.6114,0.8809,1.6188,0
164,5,0.7859,-0.1099,0.0257,0.6026,0.9275,1.5931,0
165,5,0.7880,-0.1063,0.0248,0.7738,0.8804,1.5159,1
166,5,0.7970,-0.0901,0.0207,0.7729,0.8840,1.4554,1
167,5,0.7924,-0.0989,0.0223,0.6242,1.0339,1.5295,0
168,5,0.7868,-0.1083,0.0253,0.7716,0.8806,1.5231,1
169,5,0.8026,-0.0751,0.0199,0.6125,0.9198,1.2764,0
170,5,0.7848,-0.1119,0.0262,0.7109,0.8800,1.6454,0
171,5,0.7984,-0.0861,0.0205,0.7041,0.8880,1.3535,0
172,5,0.7960,-0.0926,0.0209,0.7554,0.8826,1.4909,1
173,5,0.7880,-0.1063,0.0248,0.6016,0.8796,1.4985,0
174,5,0.7910,-0.1013,0.0231,0.7682,0.8811,1.5328,1
175,5,0.7981,-0.0869,0.0206,0.6291,0.8856,1.4286,0
176,5,0.7882,-0.1060,0.0247,0.6587,0.8800,1.5227,0
177,5,0.8015,-0.0777,0.0201,0.7840,0.9047,1.3650,1
178,5,0.7843,-0.1127,0.0265,0.7682,0.8796,1.6053,1
179,5,0.7857,-0.1103,0.0258,0.7038,0.8806,1.6083,0
