scenario_idx,sc_id,m_sh,m_se_d,m_se_q,vdc_min,vdc_max,i2_max,lvrt_pass
163,5,0.9000,0.0000,0.0000,0.6116,1.1487,1.5200,0
164,5,0.9000,0.0000,0.0000,0.5227,1.1560,1.5663,0
165,5,0.9000,0.0000,0.0000,0.6650,1.1530,1.4439,0
166,5,0.9000,0.0000,0.0000,0.6867,1.1456,1.3632,0
167,5,0.9000,0.0000,0.0000,0.5299,1.1579,1.4944,0
168,5,0.9000,0.0000,0.0000,0.8859,1.1560,1.5422,1
169,5,0.9000,0.0000,0.0000,0.5169,1.1555,1.2613,0
170,5,0.9000,0.0000,0.0000,0.6255,1.1487,1.5409,0
171,5,0.9000,0.0000,0.0000,0.5960,1.1514,1.2894,0
172,5,0.9000,0.0000,0.0000,0.6779,1.1451,1.3969,0
173,5,0.9000,0.0000,0.0000,0.5126,1.1560,1.4751,0
174,5,0.9000,0.0000,0.0000,0.6799,1.1482,1.4384,0
175,5,0.9000,0.0000,0.0000,0.5618,1.1544,1.3911,0
176,5,0.9000,0.0000,0.0000,0.5921,1.1522,1.4427,0
177,5,0.9000,0.0000,0.0000,0.7368,1.1456,1.2831,0
178,5,0.9000,0.0000,0.0000,0.8864,1.1558,1.6033,1
179,5,0.9000,0.0000,0.0000,0.6183,1.1484,1.5125,0
180,5,0.9000,0.0000,0.0000,0.5928,1.1507,1.2936,0
181,5,0.9000,0.0000,0.0000,0.6054,1.1476,1.2705,0
182,5,0.9000,0.0000,0.0000,0.7243,1.1486,1.5326,0
183,5,0.9000,0.0000,0.0000,0.5493,1.1574,1.5526,0
184,5,0.9000,0.0000,0.0000,0.5205,1.1553,1.2206,0
185,5,0.9000,0.0000,0.0000,0.5870,1.1522,1.3284,0
186,5,0.9000,0.0000,0.0000,0.8051,1.1551,1.3834,1
187,5,0.9000,0.0000,0.0000,0.8891,1.1557,1.6665,1
188,5,0.9000,0.0000,0.0000,0.5952,1.1497,1.1732,0
189,5,0.9000,0.0000,0.0000,0.5817,1.1518,1.3104,0
190,5,0.9000,0.0000,0.0000,0.7262,1.1501,1.3723,0
191,5,0.9000,0.0000,0.0000,0.5896,1.1476,1.3347,0
192,5,0.9000,0.0000,0.0000,0.5326,1.1575,1.3757,0
193,5,0.9000,0.0000,0.0000,0.5165,1.1563,1.3462,0
194,5,0.9000,0.0000,0.0000,0.5230,1.1557,1.5427,0
195,5,0.9000,0.0000,0.0000,0.6152,1.1468,1.2508,0
196,5,0.9000,0.0000,0.0000,0.7963,1.1462,1.3994,1
197,5,0.9000,0.0000,0.0000,0.6795,1.1485,1.6131,0
198,5,0.9000,0.0000,0.0000,0.8939,1.1560,1.4471,1
199,5,0.9000,0.0000,0.0000,0.8374,1.1557,1.2783,1
200,5,0.9000,0.0000,0.0000,0.6428,1.1480,1.1699,0
201,6,0.9000,0.0000,0.0000,0.9273,1.1039,1.6260,1
202,6,0.9000,0.0000,0.0000,0.9128,1.1013,2.0293,1
203,6,0.9000,0.0000,0.0000,0.8328,1.1516,1.8130,1
204,6,0.9000,0.0000,0.0000,0.8564,1.1489,1.6247,1
205,6,0.9000,0.0000,0.0000,0.9279,1.1034,1.8468,1
206,6,0.9000,0.0000,0.0000,0.9192,1.1030,1.7579,1
207,6,0.9000,0.0000,0.0000,0.9108,1.0999,1.8592,1
208,6,0.9000,0.0000,0.0000,0.9163,1.1296,1.6393,1
209,6,0.9000,0.0000,0.0000,0.8209,1.1529,1.7840,1
210,6,0.9000,0.0000,0.0000,0.8655,1.1467,1.7551,1
211,6,0.9000,0.0000,0.0000,0.8265,1.1531,1.7072,1
212,6,0.9000,0.0000,0.0000,0.9257,1.1319,1.8178,1
213,6,0.9000,0.0000,0.0000,0.8842,1.1382,1.5569,1
214,6,0.9000,0.0000,0.0000,0.8210,1.1523,1.7105,1
215,6,0.9000,0.0000,0.0000,0.9347,1.1539,2.0999,1
216,6,0.9000,0.0000,0.0000,0.9088,1.0947,1.7817,1
217,6,0.9000,0.0000,0.0000,0.8223,1.1524,1.7074,1
218,6,0.9000,0.0000,0.0000,0.9224,1.0995,1.7395,1
219,6,0.9000,0.0000,0.0000,0.8401,1.1504,1.5408,1
220,6,0.9000,0.0000,0.0000,0.9192,1.1543,2.1954,1
221,6,0.9000,0.0000,0.0000,0.9114,1.1143,1.9266,1
222,6,0.9000,0.0000,0.0000,0.8270,1.1524,1.7524,1
223,6,0.9000,0.0000,0.0000,0.8793,1.1444,1.6757,1
224,6,0.9000,0.0000,0.0000,0.8595,1.1491,1.9104,1
225,6,0.9000,0.0000,0.0000,0.8256,1.1522,1.9167,1
226,6,0.9000,0.0000,0.0000,0.8748,1.1336,2.1240,1
227,6,0.9000,0.0000,0.0000,0.8268,1.1526,1.9475,1
228,6,0.9000,0.0000,0.0000,0.9096,1.0953,1.7790,1
229,6,0.9000,0.0000,0.0000,0.8797,1.1412,1.5750,1
230,6,0.9000,0.0000,0.0000,0.8920,1.1360,1.6383,1
231,6,0.9000,0.0000,0.0000,0.9315,1.1260,1.7823,1
232,6,0.9000,0.0000,0.0000,0.8240,1.1529,1.7591,1
233,6,0.9000,0.0000,0.0000,0.9240,1.1543,2.2560,1
234,6,0.9000,0.0000,0.0000,0.9156,1.0979,1.9132,1
235,6,0.9000,0.0000,0.0000,0.8344,1.1517,1.6731,1
236,6,0.9000,0.0000,0.0000,0.9077,1.1016,1.5481,1
237,6,0.9000,0.0000,0.0000,0.7558,1.1541,2.1317,1
238,6,0.9000,0.0000,0.0000,0.9333,1.1547,2.3060,1
239,6,0.9000,0.0000,0.0000,0.9586,1.1259,1.9652,1
240,6,0.9000,0.0000,0.0000,0.9192,1.1071,1.8037,1
241,6,0.9000,0.0000,0.0000,0.8771,1.1455,1.8046,1
242,6,0.9000,0.0000,0.0000,0.8825,1.1329,1.7147,1
243,6,0.9000,0.0000,0.0000,0.8782,1.1486,1.7476,1
244,6,0.9000,0.0000,0.0000,0.8784,1.1383,1.9239,1
245,6,0.9000,0.0000,0.0000,0.9111,1.1005,1.7482,1
246,6,0.9000,0.0000,0.0000,0.9378,1.1089,1.8195,1
247,6,0.9000,0.0000,0.0000,0.9298,1.1071,1.8131,1
248,6,0.9000,0.0000,0.0000,0.8466,1.1520,1.9760,1
249,6,0.9000,0.0000,0.0000,0.8369,1.1527,1.7785,1
250,6,0.9000,0.0000,0.0000,0.8279,1.1515,1.9946,1
251,7,0.9000,0.0000,0.0000,0.4159,1.1556,2.7166,0
252,7,0.9000,0.0000,0.0000,0.4499,1.0417,3.0612,0
253,7,0.9000,0.0000,0.0000,0.7002,1.1010,2.4290,0
254,7,0.9000,0.0000,0.0000,0.4736,1.1481,2.9272,0
255,7,0.9000,0.0000,0.0000,0.5207,1.1557,2.5332,0
256,7,0.9000,0.0000,0.0000,0.5456,1.1555,2.6917,0
257,7,0.9000,0.0000,0.0000,0.4017,1.1548,2.7458,0
258,7,0.9000,0.0000,0.0000,0.3922,1.1553,2.7657,0
259,7,0.9000,0.0000,0.0000,0.3619,1.1552,2.9956,0
260,7,0.9000,0.0000,0.0000,0.3735,1.1553,2.9620,0
261,7,0.9000,0.0000,0.0000,0.9343,1.1113,2.4707,1
262,7,0.9000,0.0000,0.0000,0.4216,1.1340,3.2098,0
263,7,0.9000,0.0000,0.0000,0.3974,1.1463,3.0611,0
264,7,0.9000,0.0000,0.0000,0.6858,1.1164,2.7169,0
265,7,0.9000,0.0000,0.0000,0.4248,1.1564,2.4029,0
266,7,0.9000,0.0000,0.0000,0.6276,1.1139,2.7591,0
267,7,0.9000,0.0000,0.0000,0.5025,1.0408,3.2259,0
268,7,0.9000,0.0000,0.0000,0.8401,1.0937,2.4321,1
269,7,0.9000,0.0000,0.0000,0.6002,1.0764,2.6879,0
270,7,0.9000,0.0000,0.0000,0.4865,1.0416,2.6216,0
271,7,0.9000,0.0000,0.0000,0.5086,1.0255,2.8691,0
272,7,0.9000,0.0000,0.0000,0.6353,1.0577,2.7230,0
273,7,0.9000,0.0000,0.0000,0.5467,1.1560,2.3755,0
274,7,0.9000,0.0000,0.0000,0.4914,1.0367,2.6168,0
275,7,0.9000,0.0000,0.0000,0.4101,1.1554,2.7957,0
276,7,0.9000,0.0000,0.0000,0.4871,1.1546,2.8190,0
277,7,0.9000,0.0000,0.0000,0.6057,1.0268,2.9603,0
278,7,0.9000,0.0000,0.0000,0.7688,1.1015,2.5519,1
279,7,0.9000,0.0000,0.0000,0.3979,1.1126,3.4491,0
280,7,0.9000,0.0000,0.0000,0.5349,1.1548,2.5421,0
281,7,0.9000,0.0000,0.0000,0.7844,1.0973,2.5707,1
282,7,0.9000,0.0000,0.0000,0.5922,1.1541,2.5568,0
283,7,0.9000,0.0000,0.0000,0.3884,1.1552,2.8552,0
284,7,0.9000,0.0000,0.0000,0.8929,1.1098,2.4481,1
285,7,0.9000,0.0000,0.0000,0.5269,1.0307,2.9800,0
286,7,0.9000,0.0000,0.0000,0.4295,1.1560,2.6059,0
287,7,0.9000,0.0000,0.0000,0.4818,1.0353,3.2121,0
288,7,0.9000,0.0000,0.0000,0.4707,1.0821,2.8765,0
289,7,0.9000,0.0000,0.0000,0.8617,1.1551,2.2347,1
290,7,0.9000,0.0000,0.0000,0.6030,1.1549,2.3536,0
291,7,0.9000,0.0000,0.0000,0.4386,1.0723,3.1502,0
292,7,0.9000,0.0000,0.0000,0.5131,1.0363,3.0845,0
293,7,0.9000,0.0000,0.0000,0.4963,1.1568,2.4087,0
294,7,0.9000,0.0000,0.0000,0.3913,1.1554,2.6655,0
295,7,0.9000,0.0000,0.0000,0.4010,1.1557,2.7669,0
296,7,0.9000,0.0000,0.0000,0.4555,1.1558,2.4648,0
297,7,0.9000,0.0000,0.0000,0.4892,1.0230,2.8193,0
298,7,0.9000,0.0000,0.0000,0.3844,1.1555,2.6874,0
299,7,0.9000,0.0000,0.0000,0.3710,1.1557,2.9944,0
300,7,0.9000,0.0000,0.0000,0.5907,1.1551,2.3483,0
301,8,0.9000,0.0000,0.0000,0.8016,1.1510,1.3397,1
302,8,0.9000,0.0000,0.0000,0.8109,1.1538,1.7056,1
303,8,0.9000,0.0000,0.0000,0.6500,1.1556,1.2945,0
304,8,0.9000,0.0000,0.0000,0.7947,1.1504,1.3643,1
305,8,0.9000,0.0000,0.0000,0.7212,1.0789,1.4146,0
306,8,0.9000,0.0000,0.0000,0.7828,1.1509,1.5599,1
307,8,0.9000,0.0000,0.0000,0.7873,1.1524,1.3993,1
308,8,0.9000,0.0000,0.0000,0.7941,1.1523,1.4648,1
309,8,0.9000,0.0000,0.0000,0.7217,1.0746,1.2940,0
310,8,0.9000,0.0000,0.0000,0.8006,1.1537,1.6300,1
311,8,0.9000,0.0000,0.0000,0.5786,1.1557,1.2385,0
312,8,0.9000,0.0000,0.0000,0.8247,1.1568,1.5265,1
313,8,0.9000,0.0000,0.0000,0.7607,1.1532,1.7602,1
314,8,0.9000,0.0000,0.0000,0.6021,1.1555,1.1818,0
315,8,0.9000,0.0000,0.0000,0.5619,1.1595,1.3770,0
316,8,0.9000,0.0000,0.0000,0.7722,1.1503,1.5066,1
317,8,0.9000,0.0000,0.0000,0.7824,1.1523,1.6676,1
318,8,0.9000,0.0000,0.0000,0.8088,1.1536,1.4415,1
319,8,0.9000,0.0000,0.0000,0.5885,1.1569,1.2756,0
320,8,0.9000,0.0000,0.0000,0.8855,1.1233,1.4442,1
321,8,0.9000,0.0000,0.0000,0.5588,1.1596,1.3908,0
322,8,0.9000,0.0000,0.0000,0.7617,1.1532,1.3578,1
323,8,0.9000,0.0000,0.0000,0.6768,1.1557,1.3724,0
324,8,0.9000,0.0000,0.0000,0.6707,1.1556,1.6049,0
325,8,0.9000,0.0000,0.0000,0.8846,1.1281,1.2841,1
326,8,0.9000,0.0000,0.0000,0.5872,1.1560,1.2788,0
327,8,0.9000,0.0000,0.0000,0.7708,1.1505,1.4292,1
328,8,0.9000,0.0000,0.0000,0.7360,1.0939,1.1761,0
329,8,0.9000,0.0000,0.0000,0.7940,1.1530,1.5665,1
330,8,0.9000,0.0000,0.0000,0.7942,1.1543,1.6097,1
331,8,0.9000,0.0000,0.0000,0.5584,1.1595,1.3896,0
332,8,0.9000,0.0000,0.0000,0.5514,1.1594,1.4024,0
333,8,0.9000,0.0000,0.0000,0.8008,1.1554,1.8014,1
334,8,0.9000,0.0000,0.0000,0.8238,1.1559,1.5964,1
335,8,0.9000,0.0000,0.0000,0.7835,1.1543,1.5679,1
336,8,0.9000,0.0000,0.0000,0.8784,1.1522,1.4442,1
337,8,0.9000,0.0000,0.0000,0.7970,1.1518,1.2869,1
