#{"t_start": 1782322144.7774675, "env_id": "None"}
r,l,t
61.67333,192,880.171563
65.337875,192,880.171563
65.23796,192,880.171563
42.621017,210,906.291883
38.42674,210,906.291883
36.671795,210,906.291883
40.020157,210,906.291883
85.424866,173,928.895041
88.031425,173,928.895041
87.63006,173,928.895041
88.2402,173,928.895041
33.81689,207,958.186877
37.274677,207,958.186877
36.424046,207,958.186877
36.668495,207,958.186877
53.168644,184,982.380835
53.374943,184,982.380835
58.657764,184,982.380835
54.43321,184,982.380835
64.54418,170,1005.86705
67.85227,170,1005.86705
67.9479,170,1005.86705
66.8173,170,1005.86705
60.132668,178,1031.633056
63.945534,178,1031.633056
62.290543,178,1031.633056
64.07093,178,1031.633056
75.430176,183,1054.571162
74.823326,183,1054.571162
75.056274,183,1054.572177
75.06443,183,1054.572177
54.93832,202,1079.512689
53.691116,202,1079.51369
55.654617,202,1079.51369
61.22501,202,1079.51369
76.483055,190,1103.090969
76.95572,190,1103.090969
73.98411,190,1103.090969
74.92465,190,1103.090969
67.57444,196,1128.148147
69.77777,196,1128.148147
72.193275,196,1128.148147
68.78037,196,1128.148147
77.481094,190,1152.835644
78.417404,190,1152.835644
77.17565,190,1152.835644
79.956696,190,1152.835644
84.205894,186,1177.181613
81.82659,186,1177.181613
81.35436,186,1177.181613
83.99482,186,1177.181613
82.15505,187,1222.783066
84.97817,187,1222.783066
85.98796,187,1222.783066
86.38669,187,1222.783066
68.50698,200,1243.717718
70.11375,200,1243.717718
69.22365,200,1243.717718
67.16006,200,1243.717718
72.768776,196,1264.139251
72.25604,196,1264.139251
73.782974,196,1264.139251
73.96929,196,1264.140266
54.02548,210,1287.98709
55.848503,210,1287.98709
53.05222,210,1287.98709
54.5568,210,1287.98709
69.540535,200,1310.624658
68.530975,200,1310.624658
68.64226,200,1310.624658
71.60238,200,1310.624658
104.40114,206,1339.081909
102.95204,206,1339.081909
101.584076,206,1339.081909
103.56113,206,1339.081909
107.11477,188,1359.241813
107.11342,188,1359.241813
107.88702,188,1359.241813
106.92481,188,1359.241813
112.41837,184,1378.968099
110.035095,184,1378.968099
112.13598,184,1378.968099
113.2144,184,1378.968099
109.59632,200,1400.784125
106.64953,200,1400.784125
107.873055,200,1400.784125
108.419975,200,1400.784125
105.25926,214,1425.524451
104.99284,214,1425.524451
108.287224,214,1425.524451
103.852455,214,1425.524451
115.61074,183,1444.575086
115.97862,183,1444.575086
117.23474,183,1444.575086
116.76516,183,1444.575086
114.38114,188,1464.65281
117.11291,188,1464.654315
117.127426,188,1464.654315
116.08186,188,1464.654315
118.06165,180,1495.10451
116.67741,180,1495.10451
114.978065,180,1495.10451
116.06858,180,1495.10451
113.89592,189,1515.222798
116.65057,189,1515.222798
114.39207,189,1515.222798
117.61533,189,1515.222798
120.64879,179,1539.248224
119.62725,179,1539.248224
120.65618,179,1539.248224
121.00634,179,1539.248224
116.51228,181,1557.08255
116.06697,181,1557.08255
115.926765,181,1557.08255
116.24019,181,1557.08255
111.681816,195,1576.31789
112.3307,195,1576.31789
113.22564,195,1576.31789
112.00297,195,1576.31789
115.2021,191,1596.644311
116.421074,191,1596.644311
113.73143,191,1596.644311
117.362595,191,1596.644311
118.87458,182,1620.683342
118.46533,182,1620.683342
119.909294,182,1620.683342
116.79442,182,1620.684341
124.09746,170,1643.065492
124.14089,170,1643.065492
124.4423,170,1643.065492
124.66137,170,1643.065492
120.78592,168,1670.456039
121.456345,168,1670.457046
119.096954,168,1670.457046
119.57904,168,1670.457046
116.18352,198,1697.001324
117.09262,198,1697.001875
116.07326,198,1697.001875
116.095184,198,1697.001875
113.19267,191,1720.854716
111.959236,191,1720.854716
113.59067,191,1720.854716
113.529144,191,1720.854716
122.124306,176,1741.358536
123.01165,176,1741.358536
121.24424,176,1741.358536
122.54562,176,1741.358536
114.07696,208,1765.613423
114.24162,208,1765.613423
113.53058,208,1765.614423
114.30388,208,1765.614423
65.82095,179,1786.471812
67.47423,179,1786.471812
68.30403,179,1786.472812
66.65489,179,1786.472812
38.85454,189,1821.488218
40.122272,189,1821.488771
42.19383,189,1821.488771
40.308266,189,1821.488771
50.63428,185,1843.776299
48.25181,185,1843.776299
47.201324,185,1843.776299
47.835567,185,1843.776299
-13.051185,210,1869.041479
-14.17658,210,1869.041479
-15.95586,210,1869.041479
-14.2350025,210,1869.041479
-15.963437,209,1895.989999
-17.650196,209,1895.997008
-14.539504,209,1895.997008
-14.217577,209,1895.997008
39.247547,186,1923.541391
40.669262,186,1923.541391
39.07735,186,1923.541391
40.456226,186,1923.541391
57.593258,183,1944.488198
54.22747,183,1944.488198
54.608402,183,1944.488198
57.2179,183,1944.488198
29.690779,189,1964.417818
28.991219,189,1964.417818
30.8877,189,1964.417818
28.931694,189,1964.417818
-36.30643,209,1987.093024
-39.20989,209,1987.093024
-41.50531,209,1987.093024
-41.253784,209,1987.093571
27.774857,174,2006.656323
24.65026,174,2006.656323
26.284655,174,2006.656323
29.598785,174,2006.656323
-43.172142,209,2030.715505
-41.443096,209,2030.715505
-40.914154,209,2030.715505
-39.809193,209,2030.715505
20.027819,189,2052.058275
25.128332,189,2052.058275
24.928778,189,2052.058275
17.497704,189,2052.058275
3.201833,201,2075.02179
2.6754284,201,2075.02179
1.9802759,201,2075.02179
2.535335,201,2075.02179
69.154045,175,2095.401144
68.88411,175,2095.401144
68.746185,175,2095.401144
67.291275,175,2095.401144
63.30122,178,2130.31293
59.350506,178,2130.31293
62.38049,178,2130.31293
62.45022,178,2130.31293
49.256584,184,2152.457542
50.8832,184,2152.458541
51.17358,184,2152.458541
51.23217,184,2152.458541
67.18651,176,2176.407146
67.837654,176,2176.407146
67.13041,176,2176.407146
67.28612,176,2176.407146
16.901922,196,2201.624896
16.846426,196,2201.624896
16.8831,196,2201.624896
14.938873,196,2201.624896
24.517078,195,2228.076593
23.52007,195,2228.077594
25.965097,195,2228.077594
25.294706,195,2228.077594
67.414764,175,2250.548562
68.24941,175,2250.548562
65.43598,175,2250.548562
66.34895,175,2250.548562
42.639534,214,2284.710893
42.25509,214,2284.725138
43.897907,214,2284.725138
42.026806,214,2284.725138
93.96087,174,2309.031575
94.87968,174,2309.031575
93.93459,174,2309.031575
94.64876,174,2309.031575
89.785194,181,2331.005882
90.49705,181,2331.005882
91.93732,181,2331.005882
91.388596,181,2331.005882
84.88697,182,2351.591585
83.36044,182,2351.591585
82.22733,182,2351.591585
83.13766,182,2351.591585
50.572273,208,2375.651338
52.863514,208,2375.651338
52.821907,208,2375.651338
51.451653,208,2375.651338
66.63683,198,2396.16471
66.64297,198,2396.16471
66.089226,198,2396.16471
65.71222,198,2396.16471
101.57169,173,2413.853353
